"Lower Chance Farm SU58_89","Malthouse SU48_34","Calvesleys Farm SU57_159","Woodend SU57_155","Ashridge Wood SU47_140","Briff Lane SU56_119","Mayfield Farm SU57_158","The Barracks SU48_71","Compton Shepherds Hill SU57_154","Marlston Farm SU57_161","Bottom Barn SU57_153","Beenham SU56_220","Hartridge Farm SU57_39","Bere Court Farm SU67_84","comp","D"
1,0.981972481671186,0.961148564294632,0.983558994197291,0.861685675623429,0.929170383586084,0.99732905982906,NA,0.995338719701679,1,0.853690398432397,0.826612903225807,0.933614330874605,0.855172413793104,0.936868763479175,2001-02-01
0.990648304065432,0.967158782765893,0.979825218476904,0.95889748549323,NA,0.987035385072853,0.976774433296173,NA,0.934586699813549,0.987750172532782,0.911169170476813,0.832661290322581,NA,NA,0.952650694231621,2001-03-01
0.994467163820063,0.955910414783569,0.954456928838952,0.952396303460133,0.898124879180359,1,0.977146042363434,NA,0.918582970789311,0.997515527950311,0.875244937949052,0.869758064516129,NA,0.903448275862069,0.941420959126115,2001-04-01
0.959526100553283,0.878109202905828,0.882097378277154,0.908929722759509,0.8066885752948,0.961121022896226,0.944955406911928,NA,0.872436295835923,0.962215320910974,0.875244937949052,0.78679435483871,NA,0.864367816091954,0.891873844602112,2001-05-01
0.906302622083234,0.752862307924073,0.782771535580524,0.916505480335267,0.71080610864102,0.910645257210824,0.903962281679673,NA,0.893101305158484,0.901311249137338,0.731548007838014,0.679435483870969,NA,0.7,0.815770969954952,2001-06-01
0.838545425386898,0.64100632720699,0.624569288389514,0.860219213410702,0.607268509568915,0.835712161760334,0.838535860274991,NA,0.842262274704786,0.871221532091099,0.652514696276943,0.592069892473118,0.629083245521602,0.616091954022989,0.726853875468375,2001-07-01
0.767861438537407,0.524254293461886,0.525093632958802,0.808188265635074,0.529248018557897,0.793041926851027,0.762286324786325,NA,0.772684897451833,0.839544513457557,0.581319399085564,0.554032258064517,0.572708113804004,0.466666666666667,0.653609980716812,2001-08-01
0.687494988373026,0.464873958019483,0.435505617977529,0.753492370513647,0.431123139377537,0.697710377639014,0.692493496841323,NA,0.703231821006837,0.810213940648724,0.515349444807315,0.547715053763441,0.418335089567967,0.449425287356322,0.585151121991705,2001-09-01
0.622804907385134,0.373003916842422,0.360299625468165,0.700193423597679,0.394161994973903,0.639845376152246,0.629784466740988,NA,0.639683032939714,0.795031055900622,0.425212279555845,0.566028225806452,0.342992623814542,0.395402298850575,0.529572556002176,2001-10-01
0.58780370459466,0.284724314552576,0.318202247191011,0.669084461637653,0.365841871254591,0.612994350282486,0.595178372352285,NA,0.607520198881293,0.787525879917185,0.403004572175049,0.551612903225807,0.296101159114858,0.37816091954023,0.496750381132283,2001-11-01
