"D","Coven Lane 1048GW","Podmore 1022GW","Woolgarston 1009GW","Brocton Park Farm 1026GW","Broughton Hall 1032GW","Bishops Offley 1030GW","Stafford Lodge 1031GW","Stabhill 1029GW","Little Grange Farm 1035GW","Codsall 1025GW","Shelton under Harley 1043GW","Wing House 1044GW","Squirrels Leap 1063GW","Brocton Nature Reserve 1045GW","Sherbrooke Valley 1047GW","Four Crosses 1007GW","Cat and Kittens Lane 1050GW","comp"
2006-04-01,0.420731707317076,0.799513973268529,0.0725388601036273,0.223247232472324,0.680577849117174,0.425196850393702,0.26687116564417,0.858571428571429,0.83195592286501,NA,0.799392097264439,0.642725598526704,0.73809523809524,0.14600550964187,0.492831541218639,0.235537190082643,0.325259515570935,0.497440730009594
2006-05-01,0.387195121951223,0.736330498177398,0.0690846286701195,0.221402214022141,0.635634028892457,0.433070866141738,0.263803680981596,0.84857142857143,0.818181818181819,0.441379310344831,0.793313069908815,0.640883977900553,0.73809523809524,0.14876033057851,0.487455197132618,0.235537190082643,0.370242214532871,0.486408283186235
2006-06-01,0.405487804878048,NA,0.0794473229706381,0.206642066420665,NA,0.543307086614178,0.248466257668709,0.831428571428573,0.884297520661153,0.448275862068963,0.79179331306991,0.628913443830571,0.635714285714287,0.165289256198346,0.483870967741935,0.219008264462812,0.321799307958476,0.459582755445818
2006-07-01,0.483739837398376,0.640340218712028,0.0673575129533681,0.201107011070111,0.66131621187801,0.496062992125988,0.242331288343557,0.822857142857144,NA,0.39310344827586,0.797872340425532,0.634438305709024,NA,0.170798898071623,0.476702508960574,0.219008264462812,0.317185697808533,0.441614778603503
2006-08-01,NA,0.391251518833536,0.0414507772020717,0.197416974169743,0.667736757624397,0.417322834645667,0.226993865030674,0.807142857142858,0.683195592286499,NA,0.79179331306991,0.633517495395949,0.609523809523808,0.14600550964187,0.469534050179209,0.185950413223137,0.280276816608994,0.436607505638555
2006-09-01,0.371951219512195,0.304374240583233,0.034542314335061,0.195571955719558,0.666934189406102,0.409448818897631,0.217791411042943,0.805714285714286,0.710743801652889,0.317241379310343,0.803951367781156,0.629834254143647,0.645238095238095,0.126721763085398,0.456989247311826,0.16115702479339,0.27681660899654,0.419707175148488
2006-10-01,0.368902439024393,0.295261239368166,0.0293609671848017,0.173431734317343,0.658105939004816,0.433070866141738,0.190184049079752,0.781428571428571,0.842975206611572,0.310344827586201,0.788753799392097,0.624309392265194,0.666666666666667,0.110192837465563,0.442652329749105,0.12396694214876,0.269896193771623,0.418206117718021
2006-11-01,0.414634146341463,0.307411907654921,0.0328151986183071,0.18450184501845,0.629213483146067,0.362204724409452,0.19325153374233,0.800000000000001,0.856749311294763,0.365517241379314,0.810030395136778,0.624309392265194,0.699999999999997,0.0964187327823677,0.439068100358422,0.177685950413221,0.34948096885813,0.43195840773054
2006-12-01,0.503048780487806,0.563791008505468,0.0431778929188256,0.190036900369004,0.593900481540931,0.425196850393702,0.199386503067483,0.807142857142858,0.936639118457303,0.496551724137934,0.822188449848024,0.627992633517496,0.792857142857143,0.0936639118457272,0.4336917562724,0.194214876033058,0.463667820069203,0.481596982792022
2007-01-01,0.713414634146342,0.86269744835966,0.0898100172711566,0.177121771217711,0.640449438202248,0.496062992125988,0.202453987730061,0.817142857142857,0.980716253443528,NA,0.823708206686931,0.630755064456723,0.611904761904765,0.112947658402203,0.421146953405018,0.198347107438013,0.674740484429065,0.528338727272642
2007-02-01,0.810975609756096,0.827460510328066,0.112262521588945,0.230627306273063,0.619582664526484,0.606299212598428,0.254601226993865,0.791428571428572,0.920110192837468,0.613793103448281,0.832826747720366,0.642725598526704,0.59761904761905,0.170798898071623,0.453405017921148,0.309917355371902,0.778546712802772,0.563116488106637
2007-03-01,0.768292682926832,0.962332928311057,0.164075993091538,0.285977859778597,0.491171749598716,0.685039370078738,0.288343558282209,0.780000000000001,0.955922865013775,0.668965517241384,0.834346504559272,0.64364640883978,0.611904761904765,0.225895316804406,0.473118279569891,0.380165289256195,0.740484429065743,0.585863736136641
2007-04-01,0.759146341463417,0.778857837181046,0.151986183074265,0.376383763837639,0.63884430176565,0.685039370078738,0.328220858895704,0.757142857142859,0.914600550964187,NA,0.832826747720366,0.639042357274401,0.664285714285716,0.269972451790631,0.487455197132618,0.433884297520662,0.72318339100346,0.59005451382071
2007-05-01,0.652439024390244,0.568651275820169,0.139896373056995,0.535055350553506,0.662921348314608,0.685039370078738,0.386503067484661,0.802857142857143,0.86501377410468,0.531034482758622,0.873860182370821,0.676795580110498,0.652380952380952,0.275482093663912,0.501792114695339,0.479338842975208,0.660899653979241,0.585291801740902
2007-06-01,0.576219512195122,0.551640340218713,0.129533678756477,0.559040590405904,0.656500802568218,0.598425196850393,0.395705521472391,0.800000000000001,0.820936639118455,0.510344827586207,0.872340425531916,0.674033149171271,0.671428571428574,0.267217630853995,0.505376344086022,0.442148760330578,0.567474048442904,0.564609767001008
2007-07-01,0.701219512195121,0.944106925880922,0.203799654576856,0.68819188191882,0.611556982343499,0.748031496062988,0.432515337423313,0.812857142857145,0.89256198347107,NA,0.895136778115502,0.682320441988951,0.697619047619046,0.443526170798898,0.602150537634408,0.553719008264461,0.692041522491353,0.662584651477647
2007-08-01,0.710365853658536,0.827460510328066,0.224525043177893,0.721402214022139,0.601926163723916,0.811023622047238,0.475460122699387,0.82857142857143,0.900826446280988,0.689655172413798,0.916413373860183,0.693370165745857,0.669047619047617,0.545454545454543,0.652329749103942,0.677685950413227,0.709342560553636,0.685580031829553
2007-09-01,0.646341463414635,0.625759416767921,0.202072538860104,0.730627306273061,0.595505617977529,0.771653543307084,0.524539877300613,0.831428571428573,0.881542699724516,0.599999999999998,0.928571428571429,0.701657458563536,0.742857142857141,0.556473829201102,0.682795698924734,0.727272727272727,0.619377162629758,0.668733910769086
2007-10-01,0.615853658536588,0.493317132442283,0.184801381692572,0.944649446494465,0.704654895666131,0.803149606299214,0.546012269938652,0.852857142857143,0.724517906336088,0.558620689655178,0.94984802431611,0.719152854511971,0.735714285714284,0.537190082644626,0.697132616487455,0.685950413223143,0.591695501730104,0.667359876973294
2007-11-01,0.615853658536588,0.3681652490887,0.16062176165803,0.922509225092251,0.701444622792935,0.692913385826774,0.542944785276074,0.85,0.650137741046829,0.544827586206895,0.94984802431611,0.716390423572744,0.578571428571428,0.515151515151513,0.695340501792116,0.603305785123967,0.55363321799308,0.627156406590943
2007-12-01,0.606707317073173,0.370595382746051,0.136442141623488,0.854243542435423,0.703049759229536,0.724409448818893,0.530674846625765,0.838571428571429,0.820936639118455,0.620689655172413,0.943768996960488,0.714548802946594,0.604761904761907,0.504132231404959,0.689964157706094,0.512396694214877,0.608996539792387,0.634405264070702
2008-01-01,NA,0.680437424058324,0.14853195164076,0.883763837638377,0.736757624398072,0.653543307086619,0.576687116564417,0.908571428571428,0.870523415977962,NA,0.998480243161096,0.752302025782689,0.561904761904763,0.537190082644626,0.720430107526881,0.566115702479338,NA,0.685374216388239
2008-02-01,0.621951219512197,0.861482381530982,0.20034542314335,0.806273062730628,0.731942215088285,0.787401574803143,0.564417177914109,0.890000000000001,0.887052341597797,0.682758620689657,0.975683890577508,0.732044198895028,0.661904761904759,0.630853994490357,0.725806451612902,0.590909090909091,0.615916955017304,0.703926080024535
2008-03-01,0.707317073170734,0.716889428918589,0.191709844559586,0.863468634686348,0.669341894060995,0.732283464566929,0.585889570552148,0.911428571428573,0.702479338842971,0.717241379310345,0.992401215805472,0.753222836095765,0.804761904761907,0.663911845730027,0.738351254480285,0.669421487603305,0.698961937716265,0.712887157781779
2008-04-01,0.646341463414635,0.775212636695019,0.198618307426596,0.85239852398524,0.666131621187801,0.740157480314964,0.595092024539878,0.932857142857143,0.798898071625347,0.668965517241384,1,0.768876611418049,0.807142857142857,0.680440771349863,0.736559139784946,0.661157024793389,0.629757785467129,0.715212175249661
2008-05-01,0.640243902439027,0.704738760631834,0.20034542314335,0.821033210332104,0.738362760834672,0.850393700787405,0.579754601226996,0.935714285714287,0.74380165289256,0.634482758620696,NA,0.765193370165746,0.8,0.707988980716252,0.731182795698924,0.628099173553721,0.667820069204153,0.696822215372608
2008-06-01,0.612804878048782,0.59052247873633,0.177892918825562,0.782287822878228,0.664526484751204,0.614173228346453,0.555214723926378,0.934285714285715,0.782369146005512,0.544827586206895,NA,0.759668508287293,0.8,0.68870523415978,0.718637992831542,0.58677685950413,0.570934256055363,0.648976739553073
